,Name,Address,AvgRatingText,TotalReviews,TotalFavourites,TotalViews,TotalPictures,TotalCheckIns,Url,Latitude,Longitude,ResCreatedOn,điểm chất lượng,điểm phục vụ,điểm không gian,điểm giá cả,điểm vị trí,thời gian mở,thời gian đóng,khoảng giá,Tổng bình luận,bình luyện tuyệt vời,bình luận tốt,bình luận trung bình,bình luận kém,Tên nhà hàng,Khoảng giá khác,Thời gian hoạt động,Thích hợp,Giờ nhận khách cuối,Thời gian chuẩn bị,Nghỉ lễ,Thể loại,Sức chứa,Phong cách ẩm thực,Phù hợp với,Phục vụ các món,Website,Có wifi,Có giao hàng,Có máy lạnh & điều hòa,Cho mua về,Trả bằng thẻ,Có chỗ đậu ôtô,Nên đặt trước,Có bàn ngoài trời,Có phòng riêng,Có chỗ chơi cho trẻ em,Có karaoke,Giữ xe máy miễn phí,Tip cho nhân viên,Có khu vực hút thuốc,Có thẻ thành viên,Có xuất hóa đơn đỏ,Có hỗ trợ hội thảo,Có lò sưởi,Có hỗ trợ người khuyết tật,Có chiếu bóng đá,Có nhạc sống
455,Quán Huế Thương,"282 Khương Đình, Quận Thanh Xuân, Hà Nội",7.9,10,0,0,19,0,/ha-noi/quan-hue-thuong,20.991598,105.813199,0001-12-31T17:00:00Z,8.4,8.4,8.0,7.5,7.2,08:00,22:00,30.000đ - 60.000đ,10.0,2.0,7.0,1.0,0.0,quan-hue-thuong,,08:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",21:30,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],25 người lớn,"['Món Việt', 'Món Huế', 'Món Miền Trung']",['Ăn gia đình'],"['Bún', 'Món Huế', 'Bánh xèo', 'Nem']",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Huyền Hương - Ẩm Thực Việt Nam,"20 Bảo Khánh, Quận Hoàn Kiếm, Hà Nội",8.8,1,0,0,4,0,/ha-noi/huyen-huong-am-thuc-viet-nam,21.0300552522308,105.8503783866763,0001-12-31T17:00:00Z,9.0,9.0,9.0,9.0,8.0,08:00,23:00,20.000đ - 100.000đ,1.0,0.0,1.0,0.0,0.0,huyen-huong-am-thuc-viet-nam,,08:00 - 23:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],80 người lớn,['Món Việt'],"['Ăn gia đình', 'Họp nhóm']",,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,Hà Nội Xưa - Ẩm Thực Hà Nội,"4 Tôn Thất Thiệp, Quận Ba Đình, Hà Nội",9.2,1,0,0,25,0,/ha-noi/ha-noi-xua-am-thuc-ha-noi,21.0301629,105.8430468999999,0001-12-31T17:00:00Z,10.0,10.0,9.0,9.0,8.0,11:00,23:00,100.000đ - 500.000đ,1.0,1.0,0.0,0.0,0.0,ha-noi-xua-am-thuc-ha-noi,,11:00 - 23:00,"['Buổi  trưa', 'Buổi  tối']",10:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],120 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Họp nhóm', 'Tiếp khách']","['Thịt Gà', 'Thịt Bò', 'Đặc sản vùng']",,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,Nhà Hàng Tiệc Cưới Lân Thủy,"691 Quang Trung, Quận Hà Đông, Hà Nội",7.8,1,0,0,38,0,/ha-noi/nha-hang-chuyen-tiec-cuoi-lan-thuy,20.960313,105.762624,0001-12-31T17:00:00Z,10.0,9.0,7.0,7.0,6.0,07:00,18:30,150.000đ - 400.000đ,1.0,0.0,1.0,0.0,0.0,nha-hang-chuyen-tiec-cuoi-lan-thuy,,07:00 - 18:30,"['Buổi  trưa', 'Buổi  tối']",06:00 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],800 người lớn,['Món Việt'],"['Đãi tiệc', 'Tổ chức tiệc cưới', 'Tiệc tận nơi', 'Tổ chức hội thảo']","['Thịt Gà', 'Nấm', 'Thịt Heo', 'Thịt Bò', 'Hải sản', 'Lẩu', 'Café - Kem', 'Sinh tố - Nước ép', 'Thức uống', 'Trái cây']",http://tieccuoilanthuy.com/,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
459,Nhà Hàng Nhân Duyên - Hoàng Ngân,"75 Hoàng Ngân, Quận Thanh Xuân, Hà Nội",6.4,4,0,0,7,0,/ha-noi/nha-hang-nhan-duyen-hoang-ngan,21.007354,105.809763,0001-12-31T17:00:00Z,8.3,7.8,6.0,5.3,4.8,10:00,22:00,100.000đ - 300.000đ,4.0,0.0,3.0,0.0,1.0,nha-hang-nhan-duyen-hoang-ngan,"100,000 đ - 300,000 đ",10:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],80 người lớn,"['Món Việt', 'Món Á', 'Món Hàn']","['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách', 'Tiếp khách sang trọng']","['Thịt Gà', 'Thịt Bò', 'Hải sản', 'Lẩu', 'Thịt Vịt', 'Cơm']",,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Nhà Hàng Phương Anh,"CXCL-08 KĐT Việt Hưng, Nguyễn Cao Luyện, Quận Long Biên, Hà Nội",5.6,1,0,0,6,0,/ha-noi/nha-hang-phuong-anh,21.066012,105.90646,0001-12-31T17:00:00Z,8.0,5.0,5.0,5.0,5.0,11:00,22:00,50.000đ - 200.000đ,1.0,0.0,0.0,1.0,0.0,nha-hang-phuong-anh,,11:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],150 người lớn,['Món Việt'],"['Ăn gia đình', 'Uống bia - Nhậu', 'Tiếp khách', 'BBQ - Món Nướng']","['Thịt Gà', 'Thịt Dê', 'Heo rừng/mọi', 'Thịt Bò', 'Hải sản', 'Lẩu', 'Cá']",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,Cosa Nostra - Cafe & Nhà Hàng,"24 Tông Đản, Quận Hoàn Kiếm, Hà Nội",6.9,80,0,0,306,0,/ha-noi/cosa-nostra,21.025537,105.858048,0001-12-31T17:00:00Z,7.9,7.7,6.7,6.5,5.5,08:00,23:00,50.000đ - 200.000đ,80.0,3.0,47.0,18.0,12.0,cosa-nostra,,08:00 - 23:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",23:00,Khoảng 10 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],80 người lớn,"['Món Việt', 'Món Âu', 'Ý']","['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Ngắm cảnh', 'Tiếp khách sang trọng']","['Pizza & Pasta', 'Bánh - Kẹo', 'Café - Kem', 'Sinh tố - Nước ép', 'Thức uống']",,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,Mạnh Gà Quán,"Ki Ốt 6 Cốm Vòng, P. Dịch Vọng Hậu , Quận Cầu Giấy, Hà Nội",7.1,8,0,0,26,0,/ha-noi/manh-ga-quan,21.032212,105.785005,0001-12-31T17:00:00Z,7.3,7.1,7.0,7.0,6.9,08:30,23:00,80.000đ - 300.000đ,8.0,0.0,6.0,2.0,0.0,manh-ga-quan,"76,000 đ - 300,000 đ",08:30 - 23:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],80 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Giao tận nơi', 'Tiệc tận nơi', 'Takeaway - Mang về']","['Thịt Gà', 'Hải sản', 'Lẩu']",,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,Aquaria - Ẩm Thực Việt - Nhật,"Cung thể thao dưới nước Lê Đức Thọ, Quận Nam Từ Liêm, Hà Nội",6.9,18,0,0,100,0,/ha-noi/aquaria-am-thuc-viet-nhat,21.021648,105.767233,0001-12-31T17:00:00Z,8.1,7.7,6.4,6.1,6.1,09:00,22:00,20.000đ - 300.000đ,18.0,0.0,12.0,4.0,2.0,aquaria-am-thuc-viet-nhat,,09:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,"['Nhà hàng', 'Tiệc cưới/Hội nghị']",1000 người lớn,"['Món Việt', 'Món Á', 'Quốc tế', 'Món Nhật']","['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Buffet', 'Tổ chức tiệc cưới', 'Ngắm cảnh', 'Tiếp khách sang trọng', 'Tổ chức hội thảo', 'Chụp hình - Quay phim']",,www.aquaria.com,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
464,Trường Lộc - Bia Hơi Hà Nội,"130 Đường Ven Hồ Tây, Quận Tây Hồ, Hà Nội",7.9,3,0,0,10,0,/ha-noi/truong-loc-bia-hoi-ha-noi,21.0432705,105.8240363,0001-12-31T17:00:00Z,9.3,8.7,7.7,7.0,6.7,08:00,22:00,50.000đ - 150.000đ,3.0,0.0,2.0,1.0,0.0,truong-loc-bia-hoi-ha-noi,,08:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,"['Nhà hàng', 'Quán nhậu']",50 người lớn,['Món Việt'],"['Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách']","['Thức uống', 'Bia']",,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,Le Club Bar - Sofitel Legend Metropole Hanoi,"15 Ngô Quyền, Quận Hoàn Kiếm, Hà Nội",8.2,11,0,0,182,0,/ha-noi/le-club-bar-sofitel-legend-metropole-hanoi,21.025126,105.855342,0001-12-31T17:00:00Z,8.9,8.7,8.6,8.5,6.5,06:30,23:30,100.000đ - 500.000đ,11.0,2.0,9.0,0.0,0.0,le-club-bar-sofitel-legend-metropole-hanoi,,06:30 - 23:30,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối', 'Buổi  khuya']",12:00 AM,Khoảng 10 - 15 phút,Các ngày lễ trong năm,"['Sang trọng', 'Nhà hàng']",70 người lớn,['Món Âu'],"['Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Ngắm cảnh', 'Tiếp khách sang trọng']",['Thức uống'],,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Hà Nội Tân Tân - Đặc Sản Chả Cá & Quà Hà Nội,"15 Tràng Thi, Quận Hoàn Kiếm, Hà Nội",7.2,7,0,0,19,0,/ha-noi/ha-noi-tan-tan-dac-san-cha-ca-qua-ha-noi,21.0260864,105.8505992,0001-12-31T17:00:00Z,8.1,7.3,7.3,6.6,6.6,06:30,21:00,15.000đ - 50.000đ,7.0,0.0,5.0,2.0,0.0,ha-noi-tan-tan-dac-san-cha-ca-qua-ha-noi,,17:00 - 21:00 | 06:30 - 14:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",08:30 PM,Khoảng 5 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],70 người lớn,"['Món Bắc', 'Hà Nội']","['Ăn gia đình', 'Tiếp khách', 'Ăn Fastfood']","['Bánh mì', 'Thịt Gà', 'Phở', 'Tôm', 'Trà', 'Bánh đúc', 'Trà chanh', 'Pho mai que', 'Phở Cuốn', 'Bún', 'Xôi', 'Chè', 'Hải sản', 'Gà ta', 'Món nước', 'Cá', 'Cháo', 'Bánh cuốn', 'Ăn vặt - Ăn nhẹ', 'Nem', 'Rượu vang', 'Thức uống', 'Bia', 'Cá/bò viên', 'Nước ngọt', 'Fastfood - Thức ăn nhanh']",,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,Lotteria - Mipec Tower,"Tầng 1, Mipec Tower, 229 Tây Sơn, Quận Đống Đa, Hà Nội",7.1,61,0,0,363,0,/ha-noi/lotteria-mipec-tower,21.003415,105.82094,0001-12-31T17:00:00Z,7.5,7.2,7.0,6.9,6.7,10:00,22:00,30.000đ - 100.000đ,61.0,3.0,39.0,13.0,6.0,lotteria-mipec-tower,,10:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,"['Món Á', 'Món Hàn']","['Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Ăn vặt', 'Takeaway - Mang về', 'Ăn Fastfood']","['Gà rán', 'Bò nướng', 'Trà', 'Hamburger', 'Thịt Bò', 'Hải sản', 'Cá', 'Café - Kem', 'Sinh tố - Nước ép', 'Cơm', 'Thức uống', 'Nước ngọt', 'Sữa', 'Fastfood - Thức ăn nhanh']",www.lotteria.vn,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
468,Canteen Restaurant - Mipec Tower,"Tầng 1, Mipec Tower, 229 Tây Sơn, Quận Đống Đa, Hà Nội",7.2,10,0,0,62,0,/ha-noi/canteen-restaurant-mipec-tower,10.798251,106.688694,0001-12-31T17:00:00Z,7.8,7.6,6.9,6.9,6.6,08:30,21:30,5.000đ - 150.000đ,10.0,1.0,4.0,5.0,0.0,canteen-restaurant-mipec-tower,,08:30 - 21:30,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:00 PM,Khoảng 10 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],200 người lớn,"['Món Việt', 'Món Bắc']","['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Ăn vặt', 'Takeaway - Mang về', 'Ăn Fastfood']","['Thịt Gà', 'Bánh mì', 'Tôm', 'Gà rán', 'Heo quay', 'Vịt quay', 'Trà', 'Hamburger', 'Nấm', 'Vịt tiềm', 'Beefsteak - Bò né', 'Bún', 'Thịt Heo', 'Thịt Bò', 'Hải sản', 'Sườn nướng', 'Gà xối mỡ', 'Mì', 'Cá', 'Chân cánh gà nướng', 'Cháo', 'Súp', 'Miến', 'Mực', 'Thịt Vịt', 'Hàu', 'Chả giò', 'Café - Kem', 'Sinh tố - Nước ép', 'Cơm văn phòng', 'Ăn vặt - Ăn nhẹ', 'Cơm', 'Nem', 'Thức uống', 'Bia', 'Nước ngọt', 'Cocktail', 'Fastfood - Thức ăn nhanh']",,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
469,Mì Hàn Quốc - Hàm Cá Mập,"Tầng 4, 1 - 7 Đinh Tiên Hoàng, Quận Hoàn Kiếm, Hà Nội",7.5,15,0,0,125,0,/ha-noi/mi-han-quoc-ham-ca-map,21.03199,105.851839,0001-12-31T17:00:00Z,9.2,7.7,7.5,7.2,6.0,10:00,23:00,50.000đ - 300.000đ,15.0,0.0,11.0,4.0,0.0,mi-han-quoc-ham-ca-map,,10:00 - 23:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:00 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,"['Nhà hàng', 'Quán ăn']",70 người lớn,"['Món Á', 'Món Hàn']","['Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Ngắm cảnh']","['Thịt Gà', 'Trà', 'Thịt Bò', 'Thịt Heo', 'Hải sản', 'Món nước', 'Mì', 'Lẩu', 'Café - Kem', 'Sinh tố - Nước ép', 'Thức uống', 'Bia', 'Nước ngọt', 'Trái cây']",,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,Paku Paku - Japanese Restaurant,"35 Linh Lang, Quận Ba Đình, Hà Nội",8.6,16,0,0,71,0,/ha-noi/paku-paku-japanese-restaurant,21.0357163,105.8104446,0001-12-31T17:00:00Z,9.3,8.9,8.9,8.1,8.0,10:00,01:00,20.000đ - 250.000đ,16.0,7.0,8.0,0.0,1.0,paku-paku-japanese-restaurant,,10:00 - 01:00,"['Buổi  trưa', 'Buổi  tối', 'Buổi  khuya']",12:00 AM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],100 người lớn,"['Món Á', 'Món Nhật']","['Ăn gia đình', 'Tiếp khách', 'Tiếp khách sang trọng']",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
471,A La Folie - Ẩm Thực Pháp,"11 Trúc Bạch, Quận Tây Hồ, Hà Nội",7.9,15,0,0,165,0,/ha-noi/a-la-folie-am-thuc-phap,21.049152,105.839527,0001-12-31T17:00:00Z,8.4,8.1,7.7,7.7,7.5,11:00,23:00,60.000đ - 450.000đ,15.0,0.0,14.0,1.0,0.0,a-la-folie-am-thuc-phap,,17:00 - 23:00 | 11:00 - 14:30,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 7 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,"['Món Âu', 'Pháp']","['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách']","['Thịt Gà', 'Tôm', 'Thịt Bò', 'Hải sản', 'Cá', 'Súp', 'Mực', 'Thịt Vịt', 'Café - Kem', 'Sinh tố - Nước ép', 'Home-made', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Cocktail']",,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
472,Healthwich Vietnam - Submarine Sandwich & Salad - Tô Ngọc Vân,"26 Tô Ngọc Vân, Quận Tây Hồ, Hà Nội",7.7,76,0,0,327,0,/ha-noi/healthwich-vietnam-do-an-nhanh,21.068447,105.824683,0001-12-31T17:00:00Z,8.2,8.1,7.7,7.5,7.1,06:30,23:00,10.000đ - 80.000đ,76.0,5.0,63.0,6.0,2.0,healthwich-vietnam-do-an-nhanh,,06:30 - 23:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,"['Món Á', 'Món Âu']","['Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Giao tận nơi', 'Ăn vặt', 'Takeaway - Mang về']","['Bánh mì', 'Ăn vặt - Ăn nhẹ', 'Thức uống']",,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,Millenium - Cafe Des Arts ,"11B Ngõ Bảo Khánh, Quận Hoàn Kiếm, Hà Nội",8.5,3,0,0,33,0,/ha-noi/millenium-cafe-des-arts-,21.0309837546581,105.8501349762082,0001-12-31T17:00:00Z,9.7,9.3,8.7,8.0,6.7,10:00,23:30,100.000đ - 300.000đ,3.0,0.0,3.0,0.0,0.0,millenium-cafe-des-arts-,,10:00 - 23:30,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối', 'Buổi  khuya']",11:00 PM,Khoảng 5 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,"['Món Việt', 'Quốc tế', 'Món Âu', 'Pháp']","['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'BBQ - Món Nướng']","['Thịt Gà', 'Trà', 'Thịt Bò', 'Thịt Heo', 'Hải sản', 'Café - Kem', 'Sinh tố - Nước ép', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt', 'Trái cây', 'Cocktail', 'Xúc xích', 'Fastfood - Thức ăn nhanh']",www.facebook.com/pages/Millenium-Cafe-des-Arts,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,Casa Italia,"18 Lê Phụng Hiểu, Quận Hoàn Kiếm, Hà Nội",7.6,22,0,0,121,0,/ha-noi/casa-italia,21.026098,105.856628,0001-12-31T17:00:00Z,7.9,7.9,7.8,7.6,7.1,09:00,21:00,50.000đ - 200.000đ,22.0,1.0,15.0,6.0,0.0,casa-italia,,09:00 - 21:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",08:30 PM,Khoảng 5 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],40 người lớn,"['Món Âu', 'Ý']","['Đãi tiệc', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Đọc sách - học bài', 'Tiếp khách sang trọng']",['Pizza & Pasta'],,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,El Gaucho Steakhouse - Tràng Tiền,"11 Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",8.0,36,0,0,292,0,/ha-noi/el-gaucho-steakhouse-trang-tien,21.0245949025211,105.8565384149551,0001-12-31T17:00:00Z,8.7,8.6,8.4,8.1,6.4,11:00,23:30,500.000đ - 1.000.000đ,36.0,5.0,29.0,2.0,0.0,el-gaucho-steakhouse-trang-tien,,11:00 - 23:30,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",08:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,"['Sang trọng', 'Nhà hàng']",50 người lớn,['Châu Mỹ'],"['Đãi tiệc', 'Ăn gia đình', 'Tiếp khách', 'BBQ - Món Nướng']","['Thịt Bò', 'Beefsteak - Bò né']",www.elgaucho.asia,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,The Sushi Club,"10A Quảng An, Quận Tây Hồ, Hà Nội",8.0,18,0,0,147,0,/ha-noi/the-sushi-club,21.0603526758957,105.8271896839141,0001-12-31T17:00:00Z,8.2,8.2,8.1,8.1,7.6,09:00,21:00,100.000đ - 300.000đ,18.0,3.0,13.0,2.0,0.0,the-sushi-club,,09:00 - 21:00,"['Buổi  trưa', 'Buổi  tối']",08:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,"['Món Á', 'Món Nhật']","['Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Takeaway - Mang về']",['Sushi & Sashimi'],,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,Gà Rán KFC - Royal City,"B2 Royal City, 72A Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",7.2,42,0,0,327,0,/ha-noi/kfc-royal-city,21.0027649999999,105.815463,0001-12-31T17:00:00Z,7.6,7.5,7.2,7.1,6.8,10:00,22:00,30.000đ - 100.000đ,42.0,3.0,27.0,9.0,3.0,kfc-royal-city,,10:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],100 người lớn,['Quốc tế'],"['Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Takeaway - Mang về', 'Ăn Fastfood']","['Thịt Gà', 'Hamburger', 'Ăn vặt - Ăn nhẹ', 'Thức uống', 'Fastfood - Thức ăn nhanh']",www.kfcvietnam.com.vn,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,Sen Đầm Trị - Nhà Hàng Giữa Đầm Sen,"Đầm Trị, 2 Đặng Thai Mai, Quận Tây Hồ, Hà Nội",7.5,3,0,0,18,0,/ha-noi/sen-dam-tri-nha-hang-giua-dam-sen,21.058862,105.82214,0001-12-31T17:00:00Z,8.7,8.0,7.7,7.3,6.0,07:00,23:00,50.000đ - 200.000đ,3.0,0.0,3.0,0.0,0.0,sen-dam-tri-nha-hang-giua-dam-sen,,07:00 - 23:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],80 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách', 'Ngắm cảnh']",,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
